id_localizacao,concelho,distrito,freguesia
87401,Lousada,Porto,Nespereira
87402,Guimarães,Braga,Sande (São Martinho)
87403,Viana Do Castelo,Viana Do Castelo,Chafé
87404,Monção,Viana Do Castelo,Troporiz
87405,Manteigas,Guarda,Sameiro
87406,Sever Do Vouga,Aveiro,Rocas Do Vouga
87407,Cinfães,Viseu,Cinfães
87408,Ansião,Leiria,Avelar
87409,Caldas Da Rainha,Leiria,Salir Do Porto
87410,Valença,Viana Do Castelo,Gandra
87411,Macedo De Cavaleiros,Bragança,Ferreira
87412,Monção,Viana Do Castelo,Lara
87413,Vila Nova De Famalicão,Braga,Pousada De Saramagos
87414,Barcelos,Braga,Tamel (Santa Leocádia)
87415,Constância,Santarém,Santa Margarida Da Coutada
87416,Abrantes,Santarém,Concavada
87417,Moita,Setúbal,Sarilhos Pequenos
87418,Sertã,Castelo Branco,Cernache Do Bonjardim
87419,Figueiró Dos Vinhos,Leiria,Aguda
87420,Vila Nova De Gaia,Porto,Crestuma
87421,Almada,Setúbal,Trafaria
87422,Peso Da Régua,Vila Real,Poiares
87423,Miranda Do Douro,Bragança,Silva
87424,Mogadouro,Bragança,Brunhoso
87425,Mortágua,Viseu,Cortegaça
87426,Oliveira De Azeméis,Aveiro,Santiago De Riba-Ul
87427,Arcos De Valdevez,Viana Do Castelo,São Cosme E São Damião
87428,Póvoa De Lanhoso,Braga,Frades
87429,Lagoa,Faro,Porches
87430,Águeda,Aveiro,Lamas Do Vouga
87431,Vila Verde,Braga,Escariz (São Martinho)
87432,Lisboa,Lisboa,São Paulo
87433,Vila Flor,Bragança,Nabo
87434,Alfândega Da Fé,Bragança,Vale Pereiro
87435,Pinhel,Guarda,Manigoto
87436,Castelo Branco,Castelo Branco,Freixial Do Campo
87437,Tabuaço,Viseu,Longa
87438,Santa Maria Da Feira,Aveiro,Lobão
87439,Castelo De Paiva,Aveiro,Real
87440,Bombarral,Leiria,Pó
87441,Amarante,Porto,Candemil
87442,Felgueiras,Porto,Caramos
87443,Felgueiras,Porto,Margaride (Santa Eulália)
87444,Arcos De Valdevez,Viana Do Castelo,Miranda
87445,Melgaço,Viana Do Castelo,Remoães
87446,Loures,Lisboa,Prior Velho
87447,Loulé,Faro,Alte
87448,Avis,Portalegre,Alcôrrego
87449,Mortágua,Viseu,Sobral
87450,Figueira Da Foz,Coimbra,Buarcos
87451,Abrantes,Santarém,São Miguel Do Rio Torto
87452,Seia,Guarda,Vide
87453,Sabugal,Guarda,Rebolosa
87454,Viana Do Castelo,Viana Do Castelo,Vila Mou
87455,Vila Nova De Famalicão,Braga,Seide (São Paio)
87456,Abrantes,Santarém,Souto
87457,Sabrosa,Vila Real,São Martinho De Antas
87458,Mangualde,Viseu,Quintela De Azurara
87459,Tarouca,Viseu,Tarouca
87460,Felgueiras,Porto,Idães
87461,Lagoa,Faro,Lagoa
87462,Estremoz,Évora,São Lourenço De Mamporcão
87463,Guarda,Guarda,Famalicão
87464,Castelo Branco,Castelo Branco,Cafede
87465,Viseu,Viseu,Viseu (Santa Maria De Viseu)
87466,Santo Tirso,Porto,São Salvador Do Campo
87467,Macedo De Cavaleiros,Bragança,Vale De Prados
87468,Vila Flor,Bragança,Mourão
87469,Caminha,Viana Do Castelo,Dem
87470,Braga,Braga,Figueiredo
87471,Almada,Setúbal,Pragal
87472,Alijó,Vila Real,Castedo
87473,Montalegre,Vila Real,Padornelos
87474,Torre De Moncorvo,Bragança,Cabeça Boa
87475,Guarda,Guarda,Avelãs Da Ribeira
87476,Vagos,Aveiro,Santo António De Vagos
87477,Tabuaço,Viseu,Valença Do Douro
87478,Caldas Da Rainha,Leiria,São Gregório
87479,Guimarães,Braga,Azurém
87480,Caminha,Viana Do Castelo,Cristelo
87481,Ponte Da Barca,Viana Do Castelo,Grovelas
87482,Vila Nova De Famalicão,Braga,Vilarinho Das Cambas
87483,Tomar,Santarém,Olalhas
87484,Abrantes,Santarém,Mouriscas
87485,Bragança,Bragança,Rabal
87486,Vila Nova De Paiva,Viseu,Vila Nova De Paiva
87487,Tondela,Viseu,Vila Nova Da Rainha
87488,Penacova,Coimbra,Oliveira Do Mondego
87489,Felgueiras,Porto,Torrados
87490,Maia,Porto,Vermoim
87491,Amarante,Porto,Oliveira
87492,Melgaço,Viana Do Castelo,Paderne
87493,Vila Nova De Famalicão,Braga,Ruivães
87494,Guimarães,Braga,Barco
87495,Vila Real,Vila Real,Arroios
87496,Olhão,Faro,Fuseta
87497,Mértola,Beja,Mértola
87498,Estarreja,Aveiro,Canelas
87499,Porto De Mós,Leiria,Juncal
87500,Leiria,Leiria,Memória
87501,Lousada,Porto,Cernadelo
87502,Barcelos,Braga,Creixomil
87503,Vila Real,Vila Real,Torgueda
87504,Montalegre,Vila Real,Tourém
87505,Maia,Porto,São Pedro Fins
87506,Viana Do Castelo,Viana Do Castelo,Moreira De Geraz Do Lima
87507,Ponte Da Barca,Viana Do Castelo,Nogueira
87508,Valença,Viana Do Castelo,Friestas
87509,Viana Do Castelo,Viana Do Castelo,Freixieiro De Soutelo
87510,Amares,Braga,Rendufe
87511,Sabugal,Guarda,Alfaiates
87512,Tábua,Coimbra,Midões
87513,Alvaiázere,Leiria,Pelmá
87514,Alcobaça,Leiria,Aljubarrota (São Vicente)
87515,Penafiel,Porto,Santa Marta
87516,Amares,Braga,Carrazedo
87517,Vila Pouca De Aguiar,Vila Real,Sabroso De Aguiar
87518,Vinhais,Bragança,Quirás
87519,Armamar,Viseu,Vila Seca
87520,Póvoa De Varzim,Porto,Aguçadoura
87521,Braga,Braga,Dume
87522,Mirandela,Bragança,Passos
87523,Covilhã,Castelo Branco,São Jorge Da Beira
87524,Carregal Do Sal,Viseu,Beijós
87525,Mangualde,Viseu,Travanca De Tavares
87526,Arouca,Aveiro,Várzea
87527,Marco De Canaveses,Porto,Constance
87528,Amarante,Porto,Louredo
87529,Paredes De Coura,Viana Do Castelo,Ferreira
87530,Cartaxo,Santarém,Vale Da Pedra
87531,Ourém,Santarém,Nossa Senhora Da Piedade
87532,Rio Maior,Santarém,São Sebastião
87533,Boticas,Vila Real,Cerdedo
87534,Loulé,Faro,Tôr
87535,Odemira,Beja,Zambujeira Do Mar
87536,Ovar,Aveiro,São Vicente De Pereira Jusã
87537,Cinfães,Viseu,Bustelo
87538,Felgueiras,Porto,Lordelo
87539,Vila Nova De Famalicão,Braga,Calendário
87540,Terras De Bouro,Braga,Campo Do Gerês
87541,Vieira Do Minho,Braga,Ventosa
87542,Vagos,Aveiro,Santa Catarina
87543,Tondela,Viseu,Parada De Gonta
87544,Baião,Porto,Grilo
87545,Santo Tirso,Porto,Sequeiró
87546,Paredes De Coura,Viana Do Castelo,Cunha
87547,Braga,Braga,Braga (São João Do Souto)
87548,Mirandela,Bragança,Vale De Asnes
87549,Odemira,Beja,Bicos
87550,Tabuaço,Viseu,Granjinha
87551,Oliveira Do Hospital,Coimbra,Lourosa
87552,Soure,Coimbra,Vinha Da Rainha
87553,Vila Franca De Xira,Lisboa,Alverca Do Ribatejo
87554,Murça,Vila Real,Carva
87555,Castelo Branco,Castelo Branco,Tinalhas
87556,Coimbra,Coimbra,Santo António Dos Olivais
87557,Barcelos,Braga,Carvalhos
87558,Oeiras,Lisboa,Carnaxide
87559,Vila Real,Vila Real,São Tomé Do Castelo
87560,Sabrosa,Vila Real,Covas Do Douro
87561,Vinhais,Bragança,Travanca
87562,Viana Do Castelo,Viana Do Castelo,Amonde
87563,Guimarães,Braga,Guimarães (São Paio)
