id,data,year,gust_max,is_dry_day,is_high_wind_day,location_id,precip_hours,precip_sum,pressure_msl,radiation,sunshine,temp_max,temp_mean,temp_min,wind_dir,wind_max
2584,20240110,2024,37.1,false,false,653,,8.8,,1.53,0,8.3,7.1000000000000005,5.9,241,13.8
2616,20240110,2024,31.3,false,false,2308,,1.4,,2.39,0,8.4,7.050000000000001,5.7,249,15.8
4247,20240110,2024,17.3,false,false,2475,,0.4,,7.67,28661.2,15,11.6,8.2,256,8.4
4248,20240110,2024,17.3,false,false,2616,,0.3,,5.89,22584.16,14.1,10.2,6.3,279,8.4
4249,20240110,2024,23.4,false,false,1933,,7.1,,2.24,315.94,7.9,5.4,2.9,119,10
4250,20240110,2024,25.9,false,false,2091,,0.4,,5.18,15041.56,12.9,9.35,5.8,268,11.6
4251,20240110,2024,18.4,true,false,425,,0,,9.02,31068.06,15.2,10.899999999999999,6.6,295,10
4252,20240110,2024,28.1,false,false,1411,,2.9,,2.38,175.19,7,4.75,2.5,224,12.3
2520,20240111,2024,19.8,false,false,942,,0.1,,7.74,27917.29,8.6,4.1499999999999995,-0.3,28,10
2585,20240111,2024,36.7,true,false,653,,0,,9.22,30032.17,8,4.5,1,80,15.2
2617,20240111,2024,32.4,false,false,2308,,0.4,,8.39,28170.11,7.9,4.5,1.1,54,13.7
4283,20240111,2024,37.8,true,false,2942,,0,,9.26,30305.95,6.8,4.1,1.4,109,11.9
2521,20240112,2024,36,true,false,942,,0,,7.64,30090.63,8.2,4.75,1.3,74,17.8
2586,20240112,2024,55.4,true,false,653,,0,,8.91,29296.11,7.9,4.9,1.9,88,24.2
2618,20240112,2024,41.4,true,false,2308,,0,,8.65,30511.04,9.6,4.6,-0.4,122,21.4
2522,20240113,2024,19.8,false,false,942,,13.9,,3.33,3807.67,9.9,6.5,3.1,47,9.9
2587,20240113,2024,55.8,false,false,653,,25,,2.42,2943.14,10.9,8.95,7,96,23.8
2619,20240113,2024,51.8,false,false,2308,,1.6,,4.93,16551.67,12,9.65,7.3,165,24.5
2523,20240114,2024,19.8,false,false,942,,14.2,,3.66,10800,12.2,9.8,7.4,50,6.1
2588,20240114,2024,32.4,false,false,653,,51.1,,1.9,649.49,12.8,11.05,9.3,118,11.7
2620,20240114,2024,52.6,false,false,2308,,8.1,,3.68,6578.09,11.5,10.5,9.5,183,27.4
2524,20240115,2024,20.9,false,false,942,,32,,2.8,2870.12,14.2,12,9.8,107,6.6
2589,20240115,2024,32.8,false,false,653,,45.5,,1.78,0,13.4,12.25,11.1,224,12.2
2621,20240115,2024,40,false,false,2308,,22.2,,3.59,3745.39,14.4,12.5,10.6,216,19.8
2525,20240116,2024,48.2,false,false,942,,18.5,,3.57,4836.14,15.2,13.25,11.3,164,23.1
2590,20240116,2024,79.2,false,true,653,,47.2,,3.52,12002.94,15.4,13.4,11.4,178,30.5
2622,20240116,2024,69.8,false,true,2308,,7.7,,5.77,20350.33,14.5,13.25,12,182,35.3
2526,20240117,2024,52.9,false,false,942,,31.5,,3.71,9621.72,12.6,11.3,10,194,21
2591,20240117,2024,78.8,false,true,653,,73.3,,2.08,609.58,11.5,10.15,8.8,221,30.5
2623,20240117,2024,69.8,false,true,2308,,11,,5.67,26957.85,12.5,11.15,9.8,223,35.2
2527,20240118,2024,37.1,false,false,942,,4.9,,5.44,15296.32,12.6,10.35,8.1,204,15.6
2592,20240118,2024,64.8,false,false,653,,17.8,,4.14,7540.32,10,8.7,7.4,232,26
2624,20240118,2024,49.7,false,false,2308,,5.5,,5.11,17136.45,11.8,10.2,8.6,239,25.6
2528,20240119,2024,46.4,false,false,942,,0.3,,7.8,28572.48,11.2,7.55,3.9,54,24.1
2593,20240119,2024,32.4,false,false,653,,0.1,,8.59,28932.77,12.2,8.149999999999999,4.1,60,13.4
2625,20240119,2024,44.3,false,false,2308,,9.6,,5.02,15966.89,8.4,4.5,0.6,30,21.1
2529,20240120,2024,13.7,true,false,942,,0,,10.58,30948.31,6.8,3.4,0,172,6.5
2594,20240120,2024,25.2,true,false,653,,0,,10.4,30870.39,9.5,5.25,1,109,11.6
2626,20240120,2024,21.2,true,false,2308,,0,,11.08,31325.77,7.1,1.65,-3.8,56,12
2530,20240121,2024,12.2,true,false,942,,0,,5.29,19933.32,7.5,3.3,-0.9,22,5.2
2595,20240121,2024,19.8,true,false,653,,0,,2.86,168.41,10.4,6.1000000000000005,1.8,127,7.5
2627,20240121,2024,20.9,true,false,2308,,0,,10.42,31366.28,12.2,6.1499999999999995,0.1,183,11.3
